# All 45 single-pair merges, ranked by mean macro-F1 gain, per arm.
#
# THIS IS THE CONTROL for taxonomy_merge.csv. Merging any two of ten classes
# raises macro-F1 for free. The hypothesis is that the proposed pairs are not
# merely above zero but above the REST OF THIS DISTRIBUTION.
#
# `hypothesised` names the scenario a pair belongs to, and is blank for the
# other 43.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,class_a,class_b,n_folds,macro_f1_mean,macro_f1_sd,gain_mean,hypothesised,within_family,rank_in_arm,protocol
yolo26s,gas_influence,severe_vibration,15,0.514666,0.04558,0.010779,,False,18,uniform
yolo26s,gas_influence,insufficient_liquid_supply_and_vibration,15,0.513928,0.0479,0.01004,,False,19,uniform
yolo26s,collide_pump_and_vibration,vibration,15,0.509953,0.048,0.006066,,False,20,uniform
yolo26s,gas_influence_and_vibration,insufficient_liquid_supply_and_vibration,15,0.509619,0.054188,0.005732,,False,21,uniform
yolo26s,severe_insufficient_liquid_supply,vibration,15,0.508802,0.053374,0.004914,,False,22,uniform
yolo26s,gas_influence_and_vibration,natural_flowing,15,0.506829,0.054436,0.002942,,False,23,uniform
yolo26s,gas_influence,severe_insufficient_liquid_supply,15,0.506436,0.047925,0.002548,,False,24,uniform
yolo26s,full_load_production,natural_flowing,15,0.506182,0.051417,0.002295,,False,25,uniform
yolo26s,full_load_production,gas_influence_and_vibration,15,0.50539,0.054325,0.001503,,False,26,uniform
yolo26s,collide_pump_and_vibration,pump_leakage,15,0.505305,0.051262,0.001417,,False,27,uniform
yolo26s,collide_pump_and_vibration,gas_influence,15,0.504046,0.046217,0.000159,,False,28,uniform
yolo26s,insufficient_liquid_supply_and_vibration,natural_flowing,15,0.502742,0.054564,-0.001146,,False,29,uniform
yolo26s,gas_influence_and_vibration,severe_vibration,15,0.502086,0.050894,-0.001801,,False,30,uniform
yolo26s,pump_leakage,severe_insufficient_liquid_supply,15,0.501831,0.052881,-0.002056,,False,31,uniform
yolo26s,full_load_production,severe_vibration,15,0.501581,0.04849,-0.002306,,False,32,uniform
yolo26s,collide_pump_and_vibration,severe_vibration,15,0.500884,0.047032,-0.003004,,False,33,uniform
